fl_number,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,hole_punch,corners,actual_unit_price,calculated_unit_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around
FL-CQ-1565,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.20011,0.15069,24.7,UNDER,459.16,167.44,880.32,1506.92,8,288,1,8
FL-CQ-1565,15000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.17991,0.13391,25.57,UNDER,667.72,223.26,1117.7,2008.68,8,288,1,8
FL-CQ-1565,20000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.17383,0.12883,25.89,UNDER,875.96,289.25,1411.46,2576.67,8,288,1,8
FL-CQ-1565,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.17014,0.12582,26.05,UNDER,1084.52,355.34,1705.69,3145.55,8,288,1,8
FL-CQ-1564,5000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.21559,0.19028,11.74,UNDER,250.93,97.62,602.84,951.38,8,288,1,8
FL-CQ-1564,10000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.17688,0.15069,14.81,UNDER,459.16,167.44,880.32,1506.92,8,288,1,8
FL-CQ-1564,15000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.16022,0.13391,16.42,UNDER,667.72,223.26,1117.7,2008.68,8,288,1,8
FL-CQ-1564,20000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.15503,0.12883,16.9,UNDER,875.96,289.25,1411.46,2576.67,8,288,1,8
FL-CQ-1564,25000,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Straight,0.15194,0.12582,17.19,UNDER,1084.52,355.34,1705.69,3145.55,8,288,1,8
FL-DL-1469,50000,3.5,4.5,0,MET PET,Matte,2 Side Seal,None,Standard,None,Rounded,0.09264,0.07869,15.06,UNDER,1678.17,538.74,1717.41,3934.33,10,280,1,10
FL-DL-1469,100000,3.5,4.5,0,MET PET,Matte,2 Side Seal,None,Standard,None,Rounded,0.09008,0.07415,17.69,UNDER,3313.87,1052.4,3048.27,7414.55,10,280,1,10
FL-DL-1469,150000,3.5,4.5,0,MET PET,Matte,2 Side Seal,None,Standard,None,Rounded,0.0893,0.07268,18.62,UNDER,4949.57,1566.06,4385.71,10901.33,10,280,1,10
FL-DL-1469,200000,3.5,4.5,0,MET PET,Matte,2 Side Seal,None,Standard,None,Rounded,0.08859,0.07181,18.94,UNDER,6585.27,2079.71,5697.28,14362.26,10,280,1,10
FL-DL-1469,250000,3.5,4.5,0,MET PET,Matte,2 Side Seal,None,Standard,None,Rounded,0.08836,0.07137,19.23,UNDER,8220.96,2593.37,7028.28,17842.61,10,280,1,10
FL-DL-1484,5000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.11885,0.14817,24.67,OVER,181.62,73.65,485.56,740.84,12,288,1,12
FL-DL-1484,10000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.10562,0.11101,5.1,OVER,320.56,120.21,669.35,1110.12,12,288,1,12
FL-DL-1484,25000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.09635,0.08804,8.62,UNDER,737.35,245.33,1218.4,2201.08,12,288,1,12
FL-DL-1484,30000,3.0,6.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.09572,0.08597,10.18,UNDER,875.96,289.25,1413.93,2579.14,12,288,1,12
