est_no,fl_num,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,gusset_detail,quantity,lt_price,calc_price,error_pct,abs_error_pct,has_addcost,layout_around,lt_around,layout_match,layout_gear,layout_repeat,stock_length,spoilage,c_substrate,c_priming,c_clicks,c_hp_makeready,c_hp_running,c_laminate,c_thermo_labor,c_zipper,c_poucher_labor,c_sealer,c_packaging
6542,FL-CQ-1417 Cost Only,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,5000,0.23514,0.23213207763803176,-1.2792048830348854,1.2792048830348854,False,8,8,Y,288,36.0,2547.0,0.103,172.83942,15.89328,88.80539999999999,31.25,58.73015873015873,71.122428,19.1025,152.69056146000003,473.00000000000006,7.94664,69.28
6542,FL-CQ-1417 Cost Only,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,10000,0.19391,0.18620731310169614,-3.9722999836542017,3.9722999836542017,False,8,8,Y,288,36.0,4596.0,0.098,311.88456,28.67904,160.2472,31.25,116.80839002267574,128.338704,28.724999999999998,275.52643128,627.7142857142858,14.33952,138.56
6542,FL-CQ-1417 Cost Only,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,15000,0.17663,0.16872346953840062,-4.47632364920987,4.47632364920987,False,8,8,Y,288,36.0,6654.0,0.098,451.54043999999993,41.520959999999995,232.00279999999998,31.25,175.1417233560091,185.80629599999997,41.5875,398.90184372,744.5,20.760479999999998,207.84
6542,FL-CQ-1417 Cost Only,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,20000,0.17091,0.16200201437726303,-5.212091523455023,5.212091523455023,False,8,8,Y,288,36.0,8667.0,0.092,588.14262,54.08208,302.1894,31.25,232.19954648526078,242.01730799999999,54.16875,519.57954306,912.25,27.04104,277.12
6542,FL-CQ-1417 Cost Only,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,25000,0.16753,0.1584268997863111,-5.433713492323108,5.433713492323108,False,8,8,Y,288,36.0,10716.0,0.092,727.1877599999999,66.86784,373.6312,31.25,290.2777777777778,299.23358399999995,66.975,642.41541288,1083.0,33.43392,346.4
6542,FL-CQ-1417 Cost Only,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Rounded,K-Seal,50000,0.16011,0.15062817938795556,-5.922066461835266,5.922066461835266,False,8,8,Y,288,36.0,20859.0,0.087,1415.49174,130.16016,727.2837999999999,31.25,577.7777777777777,582.4667159999999,130.36875,1250.4799456199999,1928.25,65.08008,692.8
4956,Thermo Laminator,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,5000,0.25752,0.22980860597493874,-10.760870621723083,10.760870621723083,False,8,8,Y,288,36.0,2523.0,0.103,171.21078,15.743520000000002,87.9686,31.25,58.75850340136054,70.452252,18.9225,151.25178114,466.3333333333333,7.871760000000001,69.28
4956,Thermo Laminator,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,10000,0.20776,0.18508667250824487,-10.913230406120105,10.913230406120105,False,8,8,Y,288,36.0,4572.0,0.098,310.25592,28.52928,159.41039999999998,31.25,116.83673469387755,127.668528,28.575,274.08765095999996,621.4285714285713,14.26464,138.56
4956,Thermo Laminator,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,25000,0.17686,0.1579900721203592,-10.66941528872599,10.66941528872599,False,8,8,Y,288,36.0,10692.0,0.092,725.55912,66.71808,372.7944,31.25,290.3061224489796,298.563408,66.825,640.97663256,1077.0,33.35904,346.4
4956,Thermo Laminator,4.5,5.0,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,50000,0.16098,0.1504097655549796,-6.5661786837001,6.5661786837001,False,8,8,Y,288,36.0,20835.0,0.087,1413.8631,130.0104,726.4469999999999,31.25,577.8061224489795,581.79654,130.21875,1249.0411653,1922.25,65.0052,692.8
