estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,cmykovg_colors,white_colors,actual_price,calc_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around,run_ft
6245,Vertpack Flower Bags Flex Pack 3 Side Bottom Fill 3.5W X 4.3,25000,3.5,4.3,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.12827,0.10798,15.82,UNDER,860.32,485.73,1353.44,2699.49,10,280,1,10,7539.6
6245,Vertpack Flower Bags Flex Pack 3 Side Bottom Fill 3.5W X 4.3,50000,3.5,4.3,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.11784,0.10213,13.33,UNDER,1678.17,942.94,2485.6,5106.72,10,280,1,10,14977.1
6245,Vertpack Flower Bags Flex Pack 3 Side Bottom Fill 3.5W X 4.3,60000,3.5,4.3,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.11705,0.1012,13.54,UNDER,2005.31,1125.83,2940.75,6071.89,10,280,1,10,17952.1
6245,Vertpack Flower Bags Flex Pack 3 Side Bottom Fill 3.5W X 4.3,75000,3.5,4.3,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.11628,0.10026,13.78,UNDER,2496.02,1400.16,3623.47,7519.65,10,280,1,10,22414.6
6245,Vertpack Flower Bags Flex Pack 3 Side Bottom Fill 3.5W X 4.3,100000,3.5,4.3,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.11152,0.09911,11.13,UNDER,3313.87,1857.37,4739.3,9910.54,10,280,1,10,29852.1
6245,Vertpack Flower Bags Flex Pack 3 Side Bottom Fill 3.5W X 4.3,150000,3.5,4.3,0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.11071,0.09817,11.33,UNDER,4949.57,2771.8,7004.15,14725.52,10,280,1,10,44727.1
6240,Trulieve Clear ALOX RFP Cost Only,10000,5.5,4.75,2.0,ALOX PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Rounded,4,1,0.22503,0.19184,14.75,UNDER,607.47,328.54,982.36,1918.37,6,264,1,6,4779.5
6240,Trulieve Clear ALOX RFP Cost Only,20000,5.5,4.75,2.0,ALOX PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Rounded,4,1,0.20892,0.17378,16.82,UNDER,1171.09,603.45,1701.02,3475.55,6,264,1,6,9454.5
6240,Trulieve Clear ALOX RFP Cost Only,25000,5.5,4.75,2.0,ALOX PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Rounded,4,1,0.19747,0.17042,13.7,UNDER,1452.9,747.14,2060.34,4260.38,6,264,1,6,11792.0
6240,Trulieve Clear ALOX RFP Cost Only,50000,5.5,4.75,2.0,ALOX PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Rounded,4,1,0.19072,0.16334,14.36,UNDER,2861.95,1465.62,3839.51,8167.08,6,264,1,6,23479.5
