fl_number,width,height,gusset,substrate,finish,seal_type,zipper,quantity,unit_price,known_unit_cost,residual,residual_pct,known_pct,click_cost_per_unit,priming_per_unit,hp_labor_per_unit,converting_per_unit,zipper_per_unit,no_across,no_around,stock_width,stock_length_ft,labels_per_cycle
,3.5,6.5,0.0,,,Stand Up,Presto CR Zipper,10000,0.3663,0.1105331908632781,0.2557668091367219,69.82440871873379,30.1755912812662,0.015414344,0.0033968760000000005,0.0192365539632781,0.055,0.0174854169,2,12,26.5,1526.0,24
,3.5,6.5,0.0,,,Stand Up,Presto CR Zipper,25000,0.29548,0.10396201946336767,0.19151798053663235,64.81588619758777,35.184113802412234,0.0150749456,0.0033220824000000006,0.013079574563367669,0.055,0.0174854169,2,12,26.5,3731.0,24
,3.5,6.5,0.0,,,Stand Up,Presto CR Zipper,50000,0.26968,0.10177162899673085,0.1679083710032691,62.262077648794545,37.73792235120545,0.014961812799999998,0.003297151200000001,0.011027248096730854,0.055,0.0174854169,2,12,26.5,7406.0,24
,3.5,6.5,0.0,,,Stand Up,Presto CR Zipper,100000,0.2547,0.10067643376341244,0.15402356623658753,60.472542692024945,39.52745730797505,0.0149052464,0.003284685600000001,0.010001084863412451,0.055,0.0174854169,2,12,26.5,14756.0,24
,4.0,4.0,0.0,,,Stand Up,Presto CR Zipper,5000,0.459,0.1182165206261233,0.3407834793738767,74.24476674812128,25.75523325187871,0.013010271999999998,0.0025502400000000005,0.027672675026123306,0.055,0.019983333599999997,3,10,24.75,613.3333333333334,30
,4.0,4.0,0.0,,,Stand Up,Presto CR Zipper,10000,0.3366,0.10729360776509927,0.22930639223490074,68.12429953502695,31.875700464973043,0.012444608,0.0024393600000000007,0.01742630616509927,0.055,0.019983333599999997,3,10,24.75,1173.3333333333335,30
,4.0,4.0,0.0,,,Stand Up,Presto CR Zipper,25000,0.26584,0.10073986004848484,0.16510013995151518,62.10507822431356,37.89492177568644,0.012105209599999998,0.0023728320000000005,0.01127848484848485,0.055,0.019983333599999997,3,10,24.75,2853.3333333333335,30
,4.0,4.0,0.0,,,Stand Up,Presto CR Zipper,50000,0.24022,0.09855527747628003,0.14166472252371998,58.972909218100064,41.027090781899936,0.0119920768,0.002350656000000001,0.009229211076280042,0.055,0.019983333599999997,3,10,24.75,5653.333333333334,30
,4.0,4.0,0.0,,,Stand Up,Presto CR Zipper,100000,0.2256,0.09746298619017764,0.12813701380982234,56.79832172421203,43.20167827578796,0.011935510399999998,0.002339568,0.008204574190177638,0.055,0.019983333599999997,3,10,24.75,11253.333333333334,30
FL-DL-0744,6.0,5.25,2.0,,,Stand Up,Presto CR Zipper,10000,0.4952,0.14216054867048813,0.35303945132951187,71.29229631048301,28.70770368951699,0.026020543999999996,0.005517792,0.025647212270488138,0.055,0.029975000399999993,2,7,25.5,2576.0,14
FL-DL-0744,6.0,5.25,2.0,,,Stand Up,Presto CR Zipper,30000,0.41417,0.1348623831150321,0.27930761688496786,67.43791604533594,32.562083954664054,0.025643434666666666,0.005437824000000001,0.01880612404836543,0.055,0.029975000399999993,2,7,25.5,7616.0,14
FL-DL-0744,6.0,5.25,2.0,,,Stand Up,Presto CR Zipper,50000,0.3966,0.13340275000394086,0.26319724999605915,66.36340141100835,33.636598588991646,0.025568012799999998,0.0054218304,0.01743790640394089,0.055,0.029975000399999993,2,7,25.5,12656.0,14
FL-DL-0744,6.0,5.25,2.0,,,Stand Up,Presto CR Zipper,100000,0.38495,0.13230802517062246,0.25264197482937756,65.62981551613912,34.370184483860875,0.025511446399999995,0.005409835200000001,0.016411743170622484,0.055,0.029975000399999993,2,7,25.5,25256.0,14
FL-DL-0744,6.0,5.25,2.0,,,Stand Up,Presto CR Zipper,250000,0.37396,0.13165119027063144,0.24230880972936858,64.79538178665327,35.20461821334673,0.025477506559999998,0.00540263808,0.01579604523063144,0.055,0.029975000399999993,2,7,25.5,63056.0,14
FL-DL-0744,5.0,8.1,2.5,,,Stand Up,Presto CR Zipper,10000,0.5874,0.16897043189028213,0.4184295681097179,71.23417911299248,28.76582088700751,0.04507635,0.006765150000000001,0.037149764890282135,0.055,0.024979166999999997,1,8,18.95,4250.0,8
FL-DL-0744,5.0,8.1,2.5,,,Stand Up,Presto CR Zipper,30000,0.5034,0.16174716522361549,0.3416528347763845,67.86905736519358,32.130942634806416,0.044722809999999995,0.00671209,0.030333098223615466,0.055,0.024979166999999997,1,8,18.95,12650.0,8
FL-DL-0744,5.0,8.1,2.5,,,Stand Up,Presto CR Zipper,50000,0.48784,0.16030251189028213,0.32753748810971783,67.14035095722323,32.85964904277676,0.04465210199999999,0.006701478000000001,0.02896976489028213,0.055,0.024979166999999997,1,8,18.95,21050.0,8
FL-DL-0744,5.0,8.1,2.5,,,Stand Up,Presto CR Zipper,100000,0.47487,0.15921902189028214,0.3156509781097179,66.4710295680329,33.52897043196709,0.044599071,0.006693519000000001,0.027947264890282132,0.055,0.024979166999999997,1,8,18.95,42050.0,8
FL-DL-0744,5.0,8.1,2.5,,,Stand Up,Presto CR Zipper,250000,0.4581,0.15856892789028212,0.29953107210971786,65.38552108922022,34.614478910779766,0.0445672524,0.006688743600000001,0.027333764890282133,0.055,0.024979166999999997,1,8,18.95,105050.0,8
FL-DL-0742,6.0,9.3,2.5,,,Stand Up,Presto CR Zipper,10000,0.6736,0.18662238300779221,0.48697761699220776,72.29477686938952,27.705223130610484,0.051475424,0.009139166400000003,0.04103279220779221,0.055,0.029975000399999993,1,7,21.35,5096.0,7
FL-DL-0742,6.0,9.3,2.5,,,Stand Up,Presto CR Zipper,30000,0.59163,0.17933723185233616,0.4122927681476638,69.68760342573295,30.312396574267055,0.051098314666666665,0.009072212800000002,0.03419170398566951,0.055,0.029975000399999993,1,7,21.35,15176.0,7
FL-DL-0742,6.0,9.3,2.5,,,Stand Up,Presto CR Zipper,50000,0.57616,0.17788020162124496,0.39827979837875505,69.12659649728462,30.873403502715384,0.05102289279999999,0.009058822080000003,0.03282348634124497,0.055,0.029975000399999993,1,7,21.35,25256.0,7
FL-DL-0742,6.0,9.3,2.5,,,Stand Up,Presto CR Zipper,100000,0.56117,0.17678742894792654,0.3843825710520734,68.49663578809869,31.503364211901307,0.05096632639999999,0.009048779040000001,0.03179732310792656,0.055,0.029975000399999993,1,7,21.35,50456.0,7
FL-DL-0742,6.0,9.3,2.5,,,Stand Up,Presto CR Zipper,250000,0.54372,0.1761317653439355,0.3675882346560645,67.60616395498869,32.39383604501131,0.05093238656,0.009042753216000003,0.031181625167935517,0.055,0.029975000399999993,1,7,21.35,126056.0,7
FL-DL-0735,3.5,5.0,1.5,,,Stand Up,Presto CR Zipper,5000,0.4478,0.12108647919646216,0.3267135208035378,72.95969647242917,27.04030352757083,0.015980007999999997,0.0031228680000000004,0.02949818629646216,0.055,0.0174854169,2,12,23.5,791.0,24
