vendor,fl_number,bag_desc,raw_size,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,width,height,gusset,print_method,source_type,print_width,bag_area_sqin
ross,FL-DL-1570,,4.5W X 8H X 2G,WHT Met PET,Matte Laminate,Flat Spot Gloss UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Straight,4.5,8.0,2.0,digital,spreadsheet,18.0,36.0
ross,FL-DL-1569,,4.5W X 8H X 2G,WHT Met PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Straight,4.5,8.0,2.0,digital,spreadsheet,18.0,36.0
ross,FL-DL-1568,,4.5W X 8H X 2G,Met PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Straight,4.5,8.0,2.0,digital,spreadsheet,18.0,36.0
ross,FL-DL-1563,,2.5W X 7.1H,Met PET,Matte Laminate,None,Bottom,3 Side Seal,None,CR Zipper,Standard,Round,Straight,2.5,7.1,0.0,digital,spreadsheet,14.2,17.75
ross,FL-DL-1490,,5W X 14.5H,High Barrier CLR PET,Soft Touch Laminate,None,Top,3 Side Seal,None,CR Zipper,Standard,None,Rounded,5.0,14.5,0.0,digital,spreadsheet,29.0,72.5
ross,FL-DL-1481,,6W X 6H X 2.375G,MET PET,Soft Touch Laminate,Flat Spot UV,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,6.0,6.0,2.375,digital,spreadsheet,14.375,36.0
ross,FL-DL-1485,,5W X 6.5H X 2G,WHT MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,Round,Rounded,5.0,6.5,2.0,digital,spreadsheet,15.0,32.5
ross,FL-DL-1425,,3W X 7H X 1.5,MET PET,Matte Laminate,None,Top,Stand Up,K Seal,CR Zipper,Standard,None,Straight,3.0,7.0,1.5,digital,spreadsheet,15.5,21.0
ross,FL-DL-1421,,9W X 7H X 3G,MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,Round,Straight,9.0,7.0,3.0,digital,spreadsheet,17.0,63.0
ross,FL-DL-1443,,6W X 8H X 2G,HB CLR PET,Gloss Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,6.0,8.0,2.0,digital,spreadsheet,18.0,48.0
ross,FL-DL-1442,,4.5W X 8H X 2G,HB CLR PET,Gloss Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,4.5,8.0,2.0,digital,spreadsheet,18.0,36.0
ross,FL-DL-1424,,4.5W X 6.5H,WHT MET PET,Matte Laminate,None,Bottom,3 Side Seal,None,CR Zipper,Standard,None,Straight,4.5,6.5,0.0,digital,spreadsheet,13.0,29.25
ross,FL-DL-1407,,6W X 9H X 3G,MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Rounded,6.0,9.0,3.0,digital,spreadsheet,21.0,54.0
ross,FL-DL-1390,,4.5W X 6H X 2G,High Barrier CLR PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,CR Zipper,Standard,None,Straight,4.5,6.0,2.0,digital,spreadsheet,14.0,27.0
ross,FL-DL-1405,,5W X 8H X 2G,MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Rounded,5.0,8.0,2.0,digital,spreadsheet,18.0,40.0
ross,FL-DL-1399,FL-DL-1399 YMY Ventures,"4.5"" W X 6.5"" H",White MET PET,Matte Laminate,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,4.5,6.5,0.0,digital,spreadsheet,13.0,29.25
ross,FL-DL-1389,,3W X 8H,MET PET,Matte Laminate,None,Top,2 Side Seal,None,No Zipper,Standard,None,Straight,3.0,8.0,0.0,digital,spreadsheet,16.0,24.0
ross,FL-CQ-1385,FL-CQ-1385 Hiveology,"5"" W X 6"" H X 2"" G",METPET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,5.0,6.0,2.0,digital,spreadsheet,14.0,30.0
ross,FL-DL-1276,FL-DL-1276 Elevated Roots,"5"" W X 8.125"" H X 2.375"" G","""Cure"" PET",Gloss Lam,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.0,8.125,2.375,digital,spreadsheet,18.625,40.625
ross,FL-CQ-1380,,4.5W X 6H X 2G,METPET,Matte Laminate,None,Top,Stand Up,K Seal,Standard CR,Standard,None,Straight,4.5,6.0,2.0,digital,spreadsheet,14.0,27.0
ross,FL-CQ-1381,,9W X 6H,White METPET,Soft Touch Laminate,Spot Varnish,Top Fill,3 Side Seal,None,Standard CR,Standard,None,Rounded,9.0,6.0,0.0,digital,spreadsheet,12.0,54.0
